,kategori,kategori_kod
391,candy/camasir-makineleri,155121.0
392,arcelik/buzdolaplari,22154.0
393,bosch/buzdolaplari,22154.0
394,grundig/buzdolaplari,22154.0
395,samsung/buzdolaplari,22154.0
396,profilo/buzdolaplari,22154.0
397,altus/buzdolaplari,22154.0
398,siemens/buzdolaplari,22154.0
399,vestel/buzdolaplari,22154.0
400,hoover/buzdolaplari,22154.0
401,electrolux/buzdolaplari,22154.0
402,vestfrost/buzdolaplari,22154.0
403,lg/buzdolaplari,22154.0
404,beko/buzdolaplari,22154.0
405,miele/buzdolaplari,22154.0
406,liebherr/buzdolaplari,22154.0
407,regal/buzdolaplari,22154.0
408,grundig/bulasik-makineleri,22156.0
409,bosch/bulasik-makineleri,22156.0
410,beko/bulasik-makineleri,22156.0
411,samsung/bulasik-makineleri,22156.0
412,arcelik/bulasik-makineleri,22156.0
413,altus/bulasik-makineleri,22156.0
414,siemens/bulasik-makineleri,22156.0
415,vestel/bulasik-makineleri,22156.0
416,hoover/bulasik-makineleri,22156.0
417,electrolux/bulasik-makineleri,22156.0
418,vestfrost/bulasik-makineleri,22156.0
419,lg/bulasik-makineleri,22156.0
420,profilo/bulasik-makineleri,22156.0
421,miele/bulasik-makineleri,22156.0
422,regal/bulasik-makineleri,22156.0
423,seg/bulasik-makineleri,22156.0
424,candy/bulasik-makineleri,22156.0
425,electrolux/kurutma-makineleri,153223.0
426,bosch/kurutma-makineleri,153223.0
427,hoover/kurutma-makineleri,153223.0
428,samsung/kurutma-makineleri,153223.0
429,profilo/kurutma-makineleri,153223.0
430,altus/kurutma-makineleri,153223.0
431,siemens/kurutma-makineleri,153223.0
432,vestel/kurutma-makineleri,153223.0
433,beko/kurutma-makineleri,153223.0
434,arcelik/kurutma-makineleri,153223.0
435,lg/kurutma-makineleri,153223.0
436,grundig/kurutma-makineleri,153223.0
437,miele/kurutma-makineleri,153223.0
438,regal/kurutma-makineleri,153223.0
439,candy/kurutma-makineleri,153223.0
440,hoover/kurutmali-camasir-makinesi,80813000.0
441,lg/kurutmali-camasir-makinesi,80813000.0
442,bosch/kurutmali-camasir-makinesi,80813000.0
443,samsung/kurutmali-camasir-makinesi,80813000.0
444,siemens/kurutmali-camasir-makinesi,80813000.0
445,electrolux/kurutmali-camasir-makinesi,80813000.0
446,vestel/kurutmali-camasir-makinesi,80813000.0
447,arcelik/su-sebilleri,236214.0
448,bosch/su-sebilleri,236214.0
449,beko/su-sebilleri,236214.0
450,altus/su-sebilleri,236214.0
451,siemens/su-sebilleri,236214.0
452,vestel/su-sebilleri,236214.0
453,dijitsu/su-sebilleri,236214.0
454,awox/su-sebilleri,236214.0
455,arcelik/derin-dondurucular,22266.0
456,bosch/derin-dondurucular,22266.0
457,beko/derin-dondurucular,22266.0
458,altus/derin-dondurucular,22266.0
459,grundig/derin-dondurucular,22266.0
460,ugur/derin-dondurucular,22266.0
461,delta/derin-dondurucular,22266.0
462,vestel/derin-dondurucular,22266.0
463,senocak/derin-dondurucular,22266.0
464,simfer/derin-dondurucular,22266.0
465,profilo/derin-dondurucular,22266.0
466,regal/derin-dondurucular,22266.0
467,seg/derin-dondurucular,22266.0
468,arcelik/ocaklar,22026.0
469,kumtel/ocaklar,22026.0
470,hoover/ocaklar,22026.0
471,simfer/ocaklar,22026.0
472,bosch/ocaklar,22026.0
473,oscar/ocaklar,22026.0
474,electrolux/ocaklar,22026.0
475,luxell/ocaklar,22026.0
476,franke/ocaklar,22026.0
477,silverline/ocaklar,22026.0
478,siemens/ocaklar,22026.0
479,altus/ocaklar,22026.0
480,vestel/ocaklar,22026.0
481,profilo/ocaklar,22026.0
482,teka/ocaklar,22026.0
483,femas/ocaklar,22026.0
484,ferre/ocaklar,22026.0
485,beko/ocaklar,22026.0
486,samsung/ocaklar,22026.0
487,arcelik/ankastre-setler,234329.0
488,kumtel/ankastre-setler,234329.0
489,hoover/ankastre-setler,234329.0
490,simfer/ankastre-setler,234329.0
491,oscar/ankastre-setler,234329.0
492,electrolux/ankastre-setler,234329.0
493,luxell/ankastre-setler,234329.0
494,franke/ankastre-setler,234329.0
495,silverline/ankastre-setler,234329.0
496,siemens/ankastre-setler,234329.0
497,altus/ankastre-setler,234329.0
498,vestel/ankastre-setler,234329.0
499,profilo/ankastre-setler,234329.0
500,teka/ankastre-setler,234329.0
501,femas/ankastre-setler,234329.0
502,bosch/ankastre-setler,234329.0
503,ferre/ankastre-setler,234329.0
504,samsung/ankastre-setler,234329.0
505,esty/ankastre-setler,234329.0
506,arcelik/firinlar,22016.0
507,kumtel/firinlar,22016.0
508,hoover/firinlar,22016.0
509,simfer/firinlar,22016.0
510,oscar/firinlar,22016.0
511,electrolux/firinlar,22016.0
512,luxell/firinlar,22016.0
513,franke/firinlar,22016.0
514,silverline/firinlar,22016.0
515,siemens/firinlar,22016.0
516,altus/firinlar,22016.0
517,vestel/firinlar,22016.0
518,profilo/firinlar,22016.0
519,teka/firinlar,22016.0
520,bosch/firinlar,22016.0
521,ferre/firinlar,22016.0
522,beko/firinlar,22016.0
523,samsung/firinlar,22016.0
524,esty/firinlar,22016.0
525,arcelik/mikrodalga-firinlar,22021.0
526,samsung/mikrodalga-firinlar,22021.0
527,beko/mikrodalga-firinlar,22021.0
528,bosch/mikrodalga-firinlar,22021.0
529,siemens/mikrodalga-firinlar,22021.0
530,vestel/mikrodalga-firinlar,22021.0
531,awox/mikrodalga-firinlar,22021.0
532,franke/mikrodalga-firinlar,22021.0
533,silverline/mikrodalga-firinlar,22021.0
534,dijitsu/mikrodalga-firinlar,22021.0
535,simfer/mikrodalga-firinlar,22021.0
536,electrolux/mikrodalga-firinlar,22021.0
537,arcelik/davlumbazlar,22006.0
538,bosch/davlumbazlar,22006.0
539,beko/davlumbazlar,22006.0
540,siemens/davlumbazlar,22006.0
541,vestel/davlumbazlar,22006.0
542,silverline/davlumbazlar,22006.0
543,simfer/davlumbazlar,22006.0
544,hoover/davlumbazlar,22006.0
545,samsung/davlumbazlar,22006.0
546,franke/davlumbazlar,22006.0
547,kumtel/davlumbazlar,22006.0
548,luxell/davlumbazlar,22006.0
549,termikel/davlumbazlar,22006.0
550,kugerr/davlumbazlar,22006.0
551,alveus/davlumbazlar,22006.0
552,whitedaisy/davlumbazlar,22006.0
553,ferre/davlumbazlar,22006.0
554,electrolux/beyaz-esya-bakim-urunleri,60004956.0
555,arcelik/beyaz-esya-bakim-urunleri,60004956.0
556,ehlafiltre/beyaz-esya-bakim-urunleri,60004956.0
557,whitedaisy/beyaz-esya-bakim-urunleri,60004956.0
558,parmis/beyaz-esya-bakim-urunleri,60004956.0
559,bosch/beyaz-esya-bakim-urunleri,60004956.0
560,fipgo/beyaz-esya-bakim-urunleri,60004956.0
561,afs/beyaz-esya-bakim-urunleri,60004956.0
562,teka/beyaz-esya-bakim-urunleri,60004956.0
563,kemos/beyaz-esya-bakim-urunleri,60004956.0
564,baymak/klimalar,17453.0
565,samsung/klimalar,17453.0
566,vestel/klimalar,17453.0
567,toshiba/klimalar,17453.0
568,mitsubishi/klimalar,17453.0
569,electrolux/klimalar,17453.0
570,airfel/klimalar,17453.0
571,demirdokum/klimalar,17453.0
572,vestfrost/klimalar,17453.0
573,altus/klimalar,17453.0
574,lg/klimalar,17453.0
575,arcelik/klimalar,17453.0
576,eca/klimalar,17453.0
577,baymak/kombiler,17723.0
578,demirdokum/kombiler,17723.0
579,vaillant/kombiler,17723.0
580,buderus/kombiler,17723.0
581,daikin/kombiler,17723.0
582,eca/kombiler,17723.0
583,viessmann/kombiler,17723.0
584,alarko/kombiler,17723.0
585,bosch/kombiler,17723.0
586,fakir/sofbenler,17434.0
587,vaillant/sofbenler,17434.0
588,cvs/sofbenler,17434.0
589,baymak/sofbenler,17434.0
590,demirdokum/sofbenler,17434.0
591,beko/sofbenler,17434.0
592,baymak/termosifonlar,17769.0
593,hotpointariston/termosifonlar,17769.0
594,demirdokum/termosifonlar,17769.0
595,vestel/termosifonlar,17769.0
